Task Name,Task ID,Subtask IDs,Description Content,Task Assignee,Status,Start Date,Due Date,Date Created,Priority,Tags,Time Estimate,Time Tracked,Subtask Names,Task Type,List (ClickUp),Sprint
Sprint 1 Engineering Work,SPR-01,"SPR-01-S1, SPR-01-S2, SPR-01-S3, SPR-01-S4",Consolidated development and testing for Sprint 1,amirhossein,Done,2025-01-06 00:00:00,2025-01-18 00:00:00,2024-12-30 00:00:00,High,sprint,16h,16h,"Implement: chore: initial repository structure, Verify & Test: chore: initial repository structure, Implement: feat: add basic configuration and ES settings, Verify & Test: feat: add basic configuration and ES settings",Feature,Engineering,Sprint 1
Implement: chore: initial repository structure,SPR-01-S1,,Primary implementation of chore: initial repository structure (Hash: 9d845337f9fca499dae201ee0e1c2356a277b8e2),amirhossein,Done,2025-01-06 00:00:00,2025-01-07 00:00:00,2025-01-04 00:00:00,Normal,backend,4h,4h,,Hotfix,Engineering,Sprint 1
Verify & Test: chore: initial repository structure,SPR-01-S2,,Functional verification and unit testing for chore: initial repository structure,amirhossein,Done,2025-01-06 00:00:00,2025-01-07 00:00:00,2025-01-04 00:00:00,Normal,testing,4h,4h,,Bug,Engineering,Sprint 1
Implement: feat: add basic configuration and ES settings,SPR-01-S3,,Primary implementation of feat: add basic configuration and ES settings (Hash: dfe3f70c60c5d7504066ce5ac1f43e58aaf43c98),amirhossein,Done,2025-01-07 00:00:00,2025-01-08 00:00:00,2025-01-05 00:00:00,Normal,backend,4h,4h,,Feature,Engineering,Sprint 1
Verify & Test: feat: add basic configuration and ES settings,SPR-01-S4,,Functional verification and unit testing for feat: add basic configuration and ES settings,amirhossein,Done,2025-01-07 00:00:00,2025-01-08 00:00:00,2025-01-05 00:00:00,Normal,testing,4h,4h,,Feature,Engineering,Sprint 1
Sprint 2 Engineering Work,SPR-02,"SPR-02-S1, SPR-02-S2, SPR-02-S3, SPR-02-S4",Consolidated development and testing for Sprint 2,erfan,Done,2025-01-20 00:00:00,2025-02-01 00:00:00,2025-01-13 00:00:00,High,sprint,16h,16h,"Implement: feat: implement Persian normalizer module, Verify & Test: feat: implement Persian normalizer module, Implement: feat: add tokenizer for Persian text, Verify & Test: feat: add tokenizer for Persian text",Feature,Engineering,Sprint 2
Implement: feat: implement Persian normalizer module,SPR-02-S1,,Primary implementation of feat: implement Persian normalizer module (Hash: cdab91790b066fde552ca6089cfce7492a5f87e7),erfan,Done,2025-01-20 00:00:00,2025-01-21 00:00:00,2025-01-18 00:00:00,Normal,backend,4h,4h,,Hotfix,Engineering,Sprint 2
Verify & Test: feat: implement Persian normalizer module,SPR-02-S2,,Functional verification and unit testing for feat: implement Persian normalizer module,erfan,Done,2025-01-20 00:00:00,2025-01-21 00:00:00,2025-01-18 00:00:00,Normal,testing,4h,4h,,Feature,Engineering,Sprint 2
Implement: feat: add tokenizer for Persian text,SPR-02-S3,,Primary implementation of feat: add tokenizer for Persian text (Hash: 2f783572f7130a84571e9fceff75929f79af4f60),erfan,Done,2025-01-21 00:00:00,2025-01-22 00:00:00,2025-01-19 00:00:00,Normal,backend,4h,4h,,Feature,Engineering,Sprint 2
Verify & Test: feat: add tokenizer for Persian text,SPR-02-S4,,Functional verification and unit testing for feat: add tokenizer for Persian text,erfan,Done,2025-01-21 00:00:00,2025-01-22 00:00:00,2025-01-19 00:00:00,Normal,testing,4h,4h,,Feature,Engineering,Sprint 2
